ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
IPRI,¦¨¤H,Clcr,0,40.00,mL/min,mL/min,Initiate at 50% of usual dosage  ³Ì¤j¾¯¶q¬°³æ¤@¾¯¶q¨C¤½¤çÅé­«0.2²@§J(0.2mg/kg/dose)¡C,¨C¤éÁ`¾¯¶q¤£¥i¶W¹L¨C¤½¤çÅé­«0.5²@§J¡C,201804141427,201804141427
IPRIM,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,ÄY­«µÇ¥\¯à¨ü·lªº¯f±w¡A¦]Åã¼v¾¯ªº±Æ°£¸ûºC¡AÀ³Åv¿Å§Q¹ú±o¥¢«á¦A¨Ï¥Î¥»«~,·í¦A¦¸¨Ï¥Î©óµÇ¥\¯à¨ü·l¯f±w«e»Ý½T»{¦³¨¬°÷ªº®É¶¡±Æ°£Åé¤ºªºÅã¼v¾¯,201804212357,201804212359
IPRO6,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ (CrCl < 30mL/min) ©Î¥¿¦b±µ¨ü³zªRªvÀøªº¯f¤Hµo¥Í§C¦å¶t¯gªº­·ÀI¸û°ª¡C¹ïÄY­«µÇ¥\¯à¤£¥þ©Î¥¿¦b±µ¨ü³zªRªvÀøªº¯f¤H§ë¤©®É¡AÀ³Åv¿Å¨ä®Ä¯q­·ÀI·§ªp¡C±j¯P«ØÄ³°w¹ï¦å¶t»PÄqª«½è¿@«× (ÁC©MÁâ) ¶i¦æÁ{§ÉºÊµø¡C¹ïÄY­«µÇ¥\¯à¤£¥þ©Î¥¿¦b±µ¨ü³zªRªvÀøªº¯f¤H¡A¾A¶q¸É¥R¶t½è»Pºû¥Í¯À D ¬O·¥¬°­«­nªº¤@Àô¡C,¥é³æ 20240508,202405081503,202405081504
IPUL,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,CrCl < or =10 mL/minute and Hemodialysis¡A intermittent (thrice weekly):33% (or less) of usual total daily dose.,UpToDate 20221219,202212191609,202212200902
IPUL,¦¨¤H,Clcr,10.00,60.00,mL/min,mL/min,50% of usual total daily dose.,UpToDate 20221219,202212191608,202212191609
IRAPI,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,ESRD requiring intermittent hemodialysis (IHD): 50 mg as a single dose¡A administered after dialysis,,201812110943,201812110946
IRAPI,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,50 mg as a single dose,,201812110943,201812110945
IRAPI,¦¨¤H,Clcr,30.00,49.99,mL/min,mL/min,100 mg as a single dose,,201812110942,201812110945
IRHO1,¦¨¤H,Clcr,0,120.00,mL/min,mL/min,There are no dosage adjustments provided in the manufacturer's labeling; use with caution.,Lexidrug 20240414,202404141011,202404141011
IRIN4,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¾÷¯à¤£¥þªÌÀ³ÂÔ·V§ë»P,,201804231404,201804231404
IRIS,¦¨¤H,Clcr,0,0,mL/min,mL/min,«ØÄ³°_©l¾¯¶q¬O²Ä¤@¶g¨C¤éªA¥Îrisperidone 0.5 mg ¨â¦¸¡A²Ä¤G¶g«h¼W¥[¬°¨C¤é¤fªA1 mg ¨â¦¸©Î¨C¤éªA¥Î2 mg ¤@¦¸¡C­Y¯f¤H¹ï¨C¤éªA¥Î¦Ü¤Ö2 mg ªº­@¨ü«×¨Î¡A§Y¥i¨C¨â¶gª`®gRISPERDAL CONSTAR 25 mg,,201804142343,202303091000
IROP,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªÌ³q±`¤£»Ý­n½Õ¾ã¾¯¶q,¦ýºC©ÊµÇ°IºÜ¯f¤H±`¦ñ¦³»Ä¤¤¬r©Î¦å¼ß³J¥Õ´î¤Ö¡A¨äµo¥Í¥þ¨­©Ê¬r©Ê§@¥Î¤§¦MÀI©Ê¸û°ª,201804191557,201804191557
ISAB,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,No dosage adjustment necessary. Monitor closely for adverse effects due to accumulation of metabolites¡A particularly with prolonged courses of therapy. A dose of 500 mg every 12 hours may be adequate to achieve therapeutic plasma levels for nonsevere non-Clostridioides difficile infections.,Lexidrug 20240419,202404191019,202404191019
ISAX,¦¨¤H,Clcr,30.00,0.01,mL/min,mL/min,Not recommended.,¥é³æ 20230321,202303211634,202303211634
ISEF,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÀR¯ßª`®g¨C¤é³Ì¤j¾¯¶q¬°¤@¤Ñ400²@§J,¥é³æ,202201061542,202303091001
ISEF,¦¨¤H,Clcr,5.00,29.00,mL/min,mL/min,200 to 400 mg IV every 18 to 24 hours; alternatively¡A may give 400 mg every 24 hours for CrCl less than 30 mL/min/1.73 m(2).,Micromedexs 20220106,202201061554,202201061556
ISEF,¦¨¤H,Clcr,31.00,60.00,mL/min,mL/min,ÀR¯ßª`®g¨C¤é³Ì¤j¾¯¶q¬°¤@¤Ñ800²@§J,¥é³æ,202201061542,202303091000
ISEV,¦¨¤H,Clcr,0,14.99,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,,202303090959
ISEV,¦¨¤H,Clcr,15.00,25.00,mL/min,mL/min,¥H¼Ð·Ç¾¯¶q¬°³Ì¤j¾¯¶q¡Aµ¹ÃÄ¤T¤Ñ«á¾¯¶q´î¥b,,,202303090959
ISIMD,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Contraindication. Avoid use.,,201809101151,202303090959
ISIMD,¦¨¤H,Clcr,30.10,50.00,mL/min,mL/min,Simdax must be used with caution in patients with mild to moderate renal impairment.,,201809101152,201809101152
ISLQ,¦¨¤H,Clcr,10.00,0,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þ¡B¥½´ÁµÇ¯f¯f¤H¡G¤£«ØÄ³¨Ï¥Î¡A¦]¬°lixisenatide¦b³o¨Ç¯f¤H¨­¤WªºªvÀø¸gÅç¤£¨¬¡C,¥é³æ 20230529,202305290840,202305290843
ISLQ,¦¨¤H,Clcr,59.00,10.00,mL/min,mL/min,»´¡B¤¤«×µÇ¥\¯à¤£¥þ¡G¨Ï¥Î®É¥i¯à»ÝÀWÁcºÊ´ú¦å¿}¨Ã½Õ¾ã¾¯¶q¡C,¥é³æ 20230529,202305290842,202305290843
ISOBI,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à»ÙÃªªº±wªÌÀ³ÂÔ·V§ë»P,,201804261507,201804261507
ISOLM,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þ±wªÌÀ³ÂÔ·V¨Ï¥Î,,201804231408,201804231408
ISOO,¦¨¤H,Clcr,0,0.01,mL/min,mL/min,Patients on hemodialysis should receive a maintenance dose of 250 or 500 mg amoxicillin/125 mg clavulanic acid every 24 hours¡A with a supplemental dose given both during and at the end of dialysis,Micromedex 20210318,202103181208,202103181206
ISOO,¦¨¤H,Clcr,0.10,10.00,mL/min,mL/min,The suggested dose is 250 or 500 mg amoxicillin/125 mg clavulanic acid every 24 hours.,Micromedex 20210318,201803051616,202103181210
ISOO,¦¨¤H,Clcr,0.10,9.99,mL/min,mL/min,¥ýÀR¯ßª`®g1¾¯1.2gm¡AµM«á¦A¨C24¤p®É0.6gm. ¬~µÇ«á¥i¯à¥²¶·ÃB¥~¼W¥[1¾¯0.6gm.,¥é³æ,202103181144,202103181210
ISOO,¦¨¤H,Clcr,10.00,29.99,mL/min,mL/min,¥ýÀR¯ßª`®g1¾¯1.2gm¡AµM«á¦A¨C12¤p®É0.6gm.,¥é³æ,202103181142,202103181146
ISOO,¦¨¤H,Clcr,10.00,30.00,mL/min,mL/min,The suggested dose is 250 mg to 500 mg amoxicillin/125 mg clavulanic acid every 12 hours.,Micromedex 20210318,201803051616,202103181205
ISOO,¦¨¤H,Clcr,30.00,60.00,mL/min,mL/min,µL¶·§ïÅÜ¾¯¶q,¥é³æ,202103181140,202303091000
ISTO,¦¨¤H,Clcr,0,15.00,mL/min,mL/min,¨C¤é¤G¦¸¡A¨C¦¸§ë»P 200 ²@§J,¥é³æ,202012031653,202303091000
ISTO,¦¨¤H,Clcr,0,0.01,mL/min,mL/min,´`Àô¤¤Cimetidine¿@«×·|¦]¦å²G³zªR¦Ó­°§C¡A¦]¦¹¥»«~¶·©ó³zªR³Ì«á¶¥¬qµ¹ÃÄ¡C,¥é³æ,202012031652,202012031655
ISTO,¦¨¤H,Clcr,15.00,30.00,mL/min,mL/min,¨C¤é¤T¦¸¡A¨C¦¸ 200 ²@§J,¥é³æ,202012031654,202303090959
ISTO,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,¨C¤é¥|¦¸¡A¨C¦¸ 200 ²@§J,¥é³æ,202012031655,202303091000
ISUB,¦¨¤H,Clcr,5.00,14.00,mL/min,mL/min,1.5-3g every 24 hours,,201803261539,202303090959
ISUB,¦¨¤H,Clcr,15.00,29.00,mL/min,mL/min,1.5-3g every 12 hours,,201803261538,202303091001
ISUB,¦¨¤H,Clcr,30.00,199.00,mL/min,mL/min,1.5-3g every 6 to 8 hours,,201803261538,201803261603
ITAP,¦¨¤H,Clcr,0,20.00,mL/min,mL/min,2.25g every 8 hours;°|¤º·P¬V©ÊªÍª¢2.25g every 6 hours,,201803261549,202303090957
ITAP,¦¨¤H,Clcr,0,0,mL/min,mL/min,2.25g every 12 hours plus 0.75 g after each dialysis session ;°|¤º·P¬V©ÊªÍª¢2.25g every 8 hours plus 0.75 g after each dialysis session,¦å²G³zªR±wªÌ,201803261550,202303090957
ITAP,¦¨¤H,Clcr,20.00,40.00,mL/min,mL/min,2.25g every 6 hours; °|¤º·P¬V©ÊªÍª¢3.375g every 6 hours,,201803261544,202303091001
ITAR,¦¨¤H,Clcr,0,40.00,mL/min,mL/min,(§t¦å²G³zªR¯f¤H)ªvÀø²Ä¥|¤Ñ°_¨C¤éµ¹¤©¤T¤À¤§¤@ªººû«ù¾¯¶q¡A©Î¥H°_©l¾¯¶q¨C¤T¤éµ¹ÃÄ¡C Maintenance dose: 2mg/kg or 4mg/kg Q24H; 6mg/kg or 12mg/kg Q72H,¥é³æ 20230317,,202411061519
ITAR,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,(Hemodialysis) Load as usual¡A then: Complicated skin/soft tissue¡A pneumonia¡A complicated UTI: 6 mg/kg q72h; Bone & joint infection¡A endocarditis: 12 mg/kg q72h.,Sanfrod Guide 20230317,202303171636,202411061519
ITAR,¦¨¤H,Clcr,40.00,60.00,mL/min,mL/min,ªvÀø²Ä¥|¤Ñ°_§ï¬°¨C¤éµ¹¤©´î¥bªººû«ù¾¯¶q¡A©Î¥H°_©l¾¯¶q¹j¤éµ¹ÃÄ¡C Maintenance dose: 3mg/kg or 6mg/kg Q24H; 6mg/kg or 12mg/kg Q48H,¥é³æ 20230317,,202411061519
ITAR,¦¨¤H,Clcr,80.00,30.00,mL/min,mL/min,Load as usual¡A then: Complicated skin/soft tissue¡A pneumonia¡A complicated UTI: 6 mg/kg q48h; Bone & joint infection¡A endocarditis: 12 mg/kg q48h.,Sanford Guide 20230317,202303171634,202411061519
ITHIO,¦¨¤H,eGFR,0,10.00,mL/min/1.73m2,mL/min/1.73m2,75% of usual dose at normal dosage interval,Micromedex 20241121,202411211601,202411211602
ITHYR,¦¨¤H,Clcr,0,0,mL/min,mL/min,­Ê¿à³zªRªº¥½´ÁµÇÅ¦¯f¯f¤H±Æªn Thyrogenªº³t«×«D±`ºC¡A¦]¦¹·|©µªø´£°ª TSH ¿@«×ªº§@¥Î¡A¶·ÂÔ·VÆ[¹î¡C,,201804112350,201804112350
ITIE5,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,­Y¦P®É±µ¨ü¦å²G³zªRªÌ¡A¥i¥ÎClCr=6~20min/mLªº«ØÄ³¾¯¶q¡Aµ¹ÃÄ®É¶¡¤À§O¬°³zªR«á»P12¤p®É«á,500mg Q12H,,202303091002
ITIE5,¦¨¤H,Clcr,6.00,20.00,mL/min,mL/min,250mg Q12H(­ì1gm/day¡A 1.5gm/day¡A 2gm/day)¡A 500mg Q12H(­ì3gm/day¡A 4gm/day),500mg Q12H,,202303091000
ITIE5,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,250mg Q12H(­ì1gm/day)¡A 250mg Q8H(­ì1.5gm/day)¡A 250mg Q6H(­ì2gm/day)¡A 500mg Q8H(­ì3gm/day)¡A 500mg Q6H(­ì4gm/day),500mg Q6H,,202303091000
ITIE5,¦¨¤H,Clcr,41.00,70.00,mL/min,mL/min,250mg Q8H(­ì1gm/day)¡A 250mg Q6H(­ì1.5gm/day)¡A 500mg Q8H(­ì2gm/day)¡A 500mg Q6H(­ì3gm/day)¡A 750mg Q8H(­ì4gm/day),750mg Q8H,,202303091000
ITIEN,¦¨¤H,Clcr,0,5.00,mL/min,mL/min,­Y¦P®É±µ¨ü¦å²G³zªRªÌ¡A¥i¥ÎClCr=6~20min/mLªº«ØÄ³¾¯¶q¡Aµ¹ÃÄ®É¶¡¤À§O¬°³zªR«á»P12¤p®É«á,500mg Q12H,201907111034,202303091000
ITIEN,¦¨¤H,Clcr,6.00,20.00,mL/min,mL/min,250mg Q12H(­ì1gm/day¡A 1.5gm/day¡A 2gm/day)¡A 500mg Q12H(­ì3gm/day¡A 4gm/day),500mg Q12H,201907111034,202303091002
ITIEN,¦¨¤H,Clcr,21.00,40.00,mL/min,mL/min,250mg Q12H(­ì1gm/day)¡A 250mg Q8H(­ì1.5gm/day)¡A 250mg Q6H(­ì2gm/day)¡A 500mg Q8H(­ì3gm/day)¡A 500mg Q6H(­ì4gm/day),500mg Q6H,201907111034,202303091000
ITIEN,¦¨¤H,Clcr,41.00,70.00,mL/min,mL/min,250mg Q8H(­ì1gm/day)¡A 250mg Q6H(­ì1.5gm/day)¡A 500mg Q8H(­ì2gm/day)¡A 500mg Q6H(­ì3gm/day)¡A 750mg Q8H(­ì4gm/day),750mg Q8H,201907111034,202303090959
ITPN1,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261532,201804261532
ITPN1A,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261527,201804261528
ITPN2,¦¨¤H,eGFR,0,59.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261528,201804261528
ITPN2A,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261529,201804261529
ITPN3,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261529,201804261529
ITPNP1,¨àµ£,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261531,201804261531
ITPNP2,¨àµ£,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261531,201804261531
ITPNP3,¨àµ£,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804261532,201804261532
ITRAM,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,increase dosing interval to 12 hours,MAX 200 mg/day,201804141523,201804141523
ITRAN,¦¨¤H,Scr,1.36,2.83,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose twice daily,,201804231437,202303090959
ITRAN,¦¨¤H,Scr,2.83,5.66,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose once daily,,201804231438,202303091001
ITRAN,¦¨¤H,Scr,5.66,99.00,mg/dL,mg/dL,Maintenance dose of 10 mg/kg/dose every 48 hours or 5 mg/kg/dose once daily,,201804231438,201804231439
IVAN1,¦¨¤H,Clcr,0,0,mL/min,mL/min,Hemodialysis: Less than 70 kg¡A 1000-mg loading dose and then 500-mg maintenance dose infused over last 30 minutes of dialysis; 70 to 100 kg¡A 1250-mg loading dose and then 750-mg maintenance dose infused over last 60 minutes of dialysis; greater than 100 kg¡A 1500-mg loading dose and then 1000-mg maintenance dose infused over last 90 minutes of dialysis,Micromedex 20201123,202011231000,202011231001
IVAN1,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,Renal impairment (adult and pediatric): 15 mg/kg initially and then optimize dose and interval based on serum drug concentrations,Micromedex 20201123,202011230958,202011231001
IVAN1,¦¨¤H,Clcr,100.00,0,mL/min,mL/min,¾¯¶q¬O¨C¤Ñmg¤§µÇµ·²y¹LÂo³t²vml/min ªº15­¿¡A½Ð¨Ì¦¹°Ñ·Ó100mL/min:1545mg/24hr; 90mL/min:1390mg/24hr; 80mL/min:1235mg/24hr; 70mL/min:1080mg/24hr; 60mL/min:925mg/24hr; 50mL/min:770mg/24hr; 40mL/min:620mg/24hr; 30mL/min:465mg/24hr; 20mL/min:310mg/24hr; 10mL/min:155mg/24hr;³Ìªì¾¯¶q¤£¥i¤Ö©ó15mg/kg¡A¹ï¤¤«×¦Ü­««×µÇ¤£¥þ±wªÌ¥ç¦P¡C,¥é³æ,202011230948,202011231001
IVANC,¦¨¤H,Clcr,0.01,20.00,mL/min,mL/min,15-20 mg/kg q48h,Sanford Guide 20230414,202304141415,202304141415
IVANC,¦¨¤H,Clcr,20.00,49.00,mL/min,mL/min,15-20 mg/kg q24h,Sanford Guide 20230414,202304141415,202304141414
IVANC,¦¨¤H,Clcr,50.00,100.00,mL/min,mL/min,15-20 mg/kg q12h,Sanford Guide 20230414,202304141414,202304141414
IVANC,¦¨¤H,Clcr,100.00,999.00,mL/min,mL/min,15-20 mg/kg q8-12h,Sanford Guide 20230414,202304141414,202304141414
IVANS,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,End-stage renal disease on intermittent hemodialysis (administer after hemodialysis on dialysis days): Following loading dose of 15 to 25 mg/kg¡A give either 500 to 1¡A000 mg or 5 to 10 mg/kg after each dialysis session. Note: Dosing dependent on the assumption of 3 times/week¡A complete IHD sessions.,[UpToDate on 2020-05-07],202005071143,202005071145
IVANS,¦¨¤H,eGFR,0,15.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg; 60-80kg:1000mg; 81-100kg:1250mg; >100kg:1500mg.Check a random vancomycin level in 24 hours after the dose. If random level is =<20 mcg/mL¡A repeat the dose. If random level is >20 mcg/mL¡A do not redose; repeat random level in 12 hours.,[UpToDate on 2020-05-07],202005071141,202005071142
IVANS,¦¨¤H,eGFR,15.00,49.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg Q24H; 60-80kg:1000mg Q24H; 81-100kg:1250mg Q24H; >100kg:1500mg Q24H,[UpToDate on 2020-05-07],202005071138,202303091000
IVANS,¦¨¤H,eGFR,50.00,90.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg Q12H; 60-80kg:1000mg Q12H; 81-100kg:1250mg Q12H; >100kg:1000mg Q8H,[UpToDate on 2020-05-07],202005071137,202005071140
IVANS,¦¨¤H,eGFR,90.00,999.00,mL/min/1.73m2,mL/min/1.73m2,<60kg:750mg Q8H; 60-80kg:1000mg Q8H; 81-100kg:1250mg Q8H; >100kg:1500mg Q8H,[UpToDate on 2020-05-07],202005071134,202005071139
IVANS,¦¨¤H,Clcr,0,0,mL/min,mL/min,7.5mg/kg Q2D-Q3D; at end of hemodialysis on dialysis days: next hemodialysis in 1 day: 15mg/kg; 2 day: 25mg/kg; 3days: 35mg/kg,[Sanford Guide - Antimicrobial on 2020-05-07],202005071208,202005071200
IVANS,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,7.5mg/kg Q2D-Q3D,[Sanford Guide - Antimicrobial on 2020-05-07],202005071202,202005071200
IVANS,¦¨¤H,Clcr,10.00,100.00,mL/min,mL/min,¨C¤é¾¯¶q¡]mg¡^¬ù¬°µÇµ·²yÂo¹L²v¡]ml/min¡^ªº15­¿(Ã­©wª¬ªp¤UªºµÇ¥\¯à),[¥é³æ],,202005071209
IVANS,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,15mg/kg Q24-96h,[Sanford Guide - Antimicrobial on 2020-05-07],202005071201,202005071200
IVANS,¦¨¤H,Clcr,50.00,120.00,mL/min,mL/min,15mg/KG Q12H,[¥é³æ],,202005071210
IVANS,¦¨¤H,Clcr,50.00,90.00,mL/min,mL/min,15-30mg/kg Q12h,[Sanford Guide - Antimicrobial on 2020-05-07],202005071200,202005071200
IVC5,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,ESRD (requiring hemodialysis): Adults: IV¡A Oral: 60 to 100 mg once daily is sufficient to prevent serious ascorbate deficiency due to loss from dialysis; doses >100 mg daily may lead to secondary oxalosis and renal oxalate stone formation.,,201804231727,202303090959
IVEK,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,Dialysis: May be administered without regard to timing of dialysis,20231012 Micromedex,202310121055,202310121054
IVEK,¦¨¤H,eGFR,0,60.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment: No adjustment necessary,20231012 Micromedex,202106091143,202310121055
IVEK,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¥Ø«eµLµÇ¥\¯à¤£¥þªºÃÄª«°Ê¤O¾Ç¡C¤£«ØÄ³¥Î©óeGFR<30mL/min¡C¥Ñ©ó½á§Î¾¯betadex sulfobutyl ether sodium¦bµÇ¥\¯à­°§C®É·|»W¿n¡A¬G¤£«ØÄ³eGFR<30mL/min¨Ï¥Î§t¦³¦¹½á§Î¾¯ªºÃÄª«(¦pVEKLURY),20231012 ¥é³æ,202106091140,202310121121
IVEKS,¦¨¤H,eGFR,0,60.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment: No adjustment necessary,20231012 Micromedex,202301041111,202310121126
IVEKS,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,Dialysis: May be administered without regard to timing of dialysis,20231012 Micromedex,202310121126,202310121126
IVEKS,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¥Ø«eµLµÇ¥\¯à¤£¥þªºÃÄª«°Ê¤O¾Ç¡C¤£«ØÄ³¥Î©óeGFR<30mL/min¡C¥Ñ©ó½á§Î¾¯betadex sulfobutyl ether sodium¦bµÇ¥\¯à­°§C®É·|»W¿n¡A¬G¤£«ØÄ³eGFR<30mL/min¨Ï¥Î§t¦³¦¹½á§Î¾¯ªºÃÄª«(¦pVEKLURY),Micromedex 20231012 ¥é³æ,202301041111,202310121125
IVER,¦¨¤H,Clcr,0,0,mL/min,mL/min,If repeated IV doses are necessary¡A give smaller doses and closely monitor PR interval and blood pressure,,201804121510,201804121510
IVFEN,¦¨¤H,Clcr,0,49.99,mL/min,mL/min,·|«ØÄ³§ï¦¨¤fªA¤è¦¡ªvÀø(¤fªA¤£·|¨üµÇ¥\¯à»ÙÃª¼vÅT),,,202303090959
IVIM,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¥i¦³®Ä²M°£¦å¼ß¤¤ªº Lacosamide¡C4 ¤p®Éªº¦å²G³zªRªvÀø«á¡AÀ³¦Ò¼{¸É¥R³Ì¦h 50%ªº¾¯¶q¡C,¥é³æ,202008031608,202008031607
IVIM,¦¨¤H,Clcr,0.01,0,mL/min,mL/min,Removed by hemodialysis; after 4-hour hemodialysis treatment¡A a supplemental dose of up to 50% should be considered.,UpToDate 20200803,202008031615,202008031611
IVIM,¦¨¤H,Clcr,29.99,0,mL/min,mL/min,CrCl <30 mL/minute: Reduce dose to 75% of the maximum dose.,UpToDate 20200803,202008031610,202008031611
IVIM,¦¨¤H,Clcr,30.00,0,mL/min,mL/min,CLCR§C©ó30²@¤É/¤ÀÄÁ/1.73¤½¤Ø2:«ØÄ³´î¤Ö³Ì¤j¾¯¶qªº25%¡C,¥é³æ,201912121034,202008031607
IVIM,¦¨¤H,Clcr,60.00,29.99,mL/min,mL/min,CrCl >=30 mL/minute: No dosage adjustment necessary.,UpToDate 20200803,202008031611,202008031613
IVIM,¨àµ£,Clcr,30.00,0,mL/min,mL/min,CLCR§C©ó30²@¤É/¤ÀÄÁ/1.73¤½¤Ø2:«ØÄ³´î¤Ö³Ì¤j¾¯¶qªº25%¡C,¥é³æ,202008031605,202008031609
IVIR,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,³sÄò¸¡½¤³zªR(CAPD)¡G«ØÄ³¾¯¶q´î¥b(2.5 or 5 mg/kg) Q24H¡C¦å²G³zªR¡G«ØÄ³¾¯¶q´î¥b(2.5 or 5 mg/kg) ¨C24¤p®É¤Î³zªR«á¦U¨Ï¥Î¤@¦¸¡C,¥é³æ 20240502,202405021606,202405021606
IVIR,¦¨¤H,Clcr,10.00,25.00,mL/min,mL/min,«ØÄ³¾¯¶q(5 or 10mg/kg) Q24H,¥é³æ 20240502,202405021603,202405021603
IVIR,¦¨¤H,Clcr,25.00,50.00,mL/min,mL/min,«ØÄ³¾¯¶q(5 or 10mg/kg) Q12H,¥é³æ 20240502,202405021603,202405021603
IVOR,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Moderate to severe impairment: Use is not recommended; contraindicated in patients in the perioperative period and who are at risk for volume depletion.,,201912091140,201912091140
IWINB,¦¨¤H,Clcr,0,120.00,mL/min,mL/min,µÇ°IºÜ¯f¤H¤£»Ý½Õ¾ã¾¯¶q¡C¦b³o¨Ç¯f¤H¤¤¡Acisatracuriumª`®g¾¯ªºÃÄ®Ä¾Ç¼Æ¾ÚÃþ¦ü©ó¥¿±`µÇ¥\¯à¯f¤H©ÒÆ[¹î¨ìªºµ²ªG¡A¦ýÃÄ®Äªº¶}©l·|µy¦³©µ«á¡C,¥é³æ 20240718,202407181739,202407181739
IXOL,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,,201804191020,202303090959
IXOL0,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,,201804191019,202303091002
IXYL2V,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇ¥\¯à±wªÌ·|¦]¥NÁÂ¿ð½w¦Ó¤Þ°_¦å¼ß¤¤¿@«×¤W¤É¡A¬GÂÔ·V¨Ï¥Î¤§,,201804191548,201804191548
IZOV,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,50%¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j24¤p®É,,,202303091000
IZOV,¦¨¤H,Clcr,0,0,mL/min,mL/min,¦å²G³zªR¯f¤H:an additional dose is recommended after each dialysis,,,202303091001
IZOV,¦¨¤H,Clcr,10.00,25.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j24¤p®É,,,202303090959
IZOV,¦¨¤H,Clcr,26.00,50.00,mL/min,mL/min,¥¿±`¾¯¶q¡Aµ¹ÃÄ¶¡¹j12¤p®É,,,202303090959
